,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone
505,STORE CAPITAL Corp,STOR,New York Stock Exchange,18.5,"27,500,000","$508,750,000",2014-11-18,/market-activity/ipos/overview?dealId=872181-76340,48,"110,917,633",2051976210.5,8377 EAST HARTFORD DRIVE SUITE 100  SCOTTSDALE AZ 85255,(480) 256-1100
506,"Paramount Group, Inc.",PGRE,New York Stock Exchange,17.5,"131,000,000","$2,292,500,000",2014-11-19,/market-activity/ipos/overview?dealId=943220-76295,217,"192,247,023",3364322902.5,1633 Broadway Suite 1801  New York NY 10019,2122373100
507,SECOND SIGHT MEDICAL PRODUCTS INC,EYES,Nasdaq SmallCap Market,9.0,"3,500,000","$31,500,000",2014-11-19,/market-activity/ipos/overview?dealId=599854-76175,126,"34,625,573",311630157.0,"12744 SAN FERNANDO ROAD, BLDG. 3   SYLMAR CA 91342",818-833-5000
508,Cnova N.V.,CNV,Nasdaq National Market,7.0,"26,800,000","$187,600,000",2014-11-20,/market-activity/ipos/overview?dealId=936385-75630,4281,"438,914,952",3072404664.0,5613 AM EINDHOVEN   EINDHOVEN  5613 AM,310402502258
509,"Habit Restaurants, Inc.",HABT,Nasdaq National Market,18.0,"5,000,000","$90,000,000",2014-11-20,/market-activity/ipos/overview?dealId=947337-76728,2852,"8,224,550",148041900.0,"17320 RED HILL AVENUE, SUITE 140   IRVINE CA 92614",949-851-8881
510,"Evofem Biosciences, Inc.",NEOT,Nasdaq National Market,14.0,"4,650,000","$65,100,000",2014-11-20,/market-activity/ipos/overview?dealId=947513-76746,10,"13,620,148",190682072.0,12400 HIGH BLUFF DRIVE SUITE 600  SAN DIEGO CA 92130,(858) 550-1900
511,Peak Resorts Inc,SKIS,Nasdaq National Market,9.0,"10,000,000","$90,000,000",2014-11-21,/market-activity/ipos/overview?dealId=853143-76758,450,"13,982,400",125841600.0,17409 HIDDEN VALLEY DRIVE   WILDWOOD MO 63025,636-938-7474
512,Neff Corp,NEFF,New York Stock Exchange,15.0,"10,476,190","$157,142,850",2014-11-21,/market-activity/ipos/overview?dealId=943748-76371,1061,"10,476,190",157142850.0,3750 N.W. 87TH AVENUE SUITE 400  MIAMI FL 33178,3055133350
513,"Ocugen, Inc.",HSGX,Nasdaq National Market,11.0,"5,909,091","$65,000,001",2014-12-03,/market-activity/ipos/overview?dealId=717962-76655,45,"12,756,805",140324855.0,5 GREAT VALLEY PARKWAY SUITE 160  MALVERN PA 19355,484-328-4698
514,LendingClub CORP,LC,New York Stock Exchange,15.0,"57,700,000","$865,500,000",2014-12-11,/market-activity/ipos/overview?dealId=754560-76296,742,"361,111,537",5416673055.0,595 MARKET STREET SUITE 200  SAN FRANCISCO CA 94105,415-632-5600
515,Momo Inc.,MOMO,Nasdaq National Market,13.5,"16,000,000","$216,000,000",2014-12-11,/market-activity/ipos/overview?dealId=949006-76912,358,"16,000,000",216000000.0,"20/F, BLOCK B, TOWER 2, WANGJING SOHO NO.1 FUTONGDONG STREET,CHAOYANG DISTRICT  BEIJING  100102",861057310567
516,"Hortonworks, Inc.",HDP,Nasdaq National Market,16.0,"6,250,000","$100,000,000",2014-12-12,/market-activity/ipos/overview?dealId=949081-76930,524,"41,617,451",665879216.0,5470 GREAT AMERICA PARKWAY   SANTA CLARA CA 95054,408-916-4121
517,Stellantis N.V.,FCAU,New York Stock Exchange,11.0,"87,000,000","$957,000,000",2014-12-12,/market-activity/ipos/overview?dealId=938631-76694,232463,"1,271,919,505",13991114555.0,SINGAPORESTRAAT 92-100   LIJNDEN  1175 RA,31 20 3421 707
518,CONNECTURE INC,CNXR,Nasdaq National Market,8.0,"6,635,000","$53,080,000",2014-12-12,/market-activity/ipos/overview?dealId=389472-76757,419,"21,680,590",173444720.0,18500 W. CORPORATE DRIVE SUITE 250  BROOKFIELD WI 53045,262-432-8282
519,"NEW RELIC, INC.",NEWR,New York Stock Exchange,23.0,"5,000,000","$115,000,000",2014-12-12,/market-activity/ipos/overview?dealId=790196-76935,534,"46,045,775",1059052825.0,"188 SPEAR STREET, STE. 1000   SAN FRANCISCO CA 94105",650-777-7600
520,Metaldyne Performance Group Inc.,MPG,New York Stock Exchange,15.0,"10,000,000","$150,000,000",2014-12-12,/market-activity/ipos/overview?dealId=942977-76272,12000,"67,073,255",1006098825.0,ONE TOWNE SQUARE SUITE 550  SOUTHFIELD MI 48076,248-727-1800
521,WORKIVA INC,WK,New York Stock Exchange,14.0,"7,200,000","$100,800,000",2014-12-12,/market-activity/ipos/overview?dealId=787804-76751,949,"27,097,876",379370264.0,2900 UNIVERSITY BLVD.   AMES IA 50010,(515) 817-6100
522,Avolon Holdings Ltd,AVOL,New York Stock Exchange,20.0,"13,636,363","$272,727,260",2014-12-12,/market-activity/ipos/overview?dealId=936702-75673,62,"80,952,381",1619047620.0,"THE OVAL, BUILDING 1 SHELBOURNE ROAD  BALLSBRIDGE, DUBLIN  4",353 1 231-5800
523,"James River Group Holdings, Ltd.",JRVR,Nasdaq National Market,21.0,"11,000,000","$231,000,000",2014-12-12,/market-activity/ipos/overview?dealId=948916-76904,288,"28,540,350",599347350.0,90 PITTS BAY ROAD   PEMBROKE  HM 08,1-441-278-4580
524,"On Deck Capital, Inc.",ONDK,New York Stock Exchange,20.0,"10,000,000","$200,000,000",2014-12-17,/market-activity/ipos/overview?dealId=764661-76929,369,"66,160,636",1323212720.0,1400 BROADWAY 25TH FLOOR  New York NY 10018,888-269-4246
525,"BELLICUM PHARMACEUTICALS, INC",BLCM,Nasdaq National Market,19.0,"7,350,000","$139,650,000",2014-12-18,/market-activity/ipos/overview?dealId=704393-77028,30,"25,849,571",491141849.0,3730 KIRBY DRIVE SUITE 1200  HOUSTON TX 77098,(832) 384-1100
526,"Juno Therapeutics, Inc.",JUNO,Nasdaq National Market,24.0,"11,022,917","$264,550,008",2014-12-19,/market-activity/ipos/overview?dealId=923186-76993,70,"77,939,023",1870536552.0,"400 DEXTER AVENUE NORTH, SUITE 1200   SEATTLE WA 98109",2065821600
527,Nexvet Biopharma plc,NVET,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2015-02-05,/market-activity/ipos/overview?dealId=953739-77342,21,"11,079,996",110799960.0,"UNIT 5, SRAGH TECHNOLOGY PARK RAHAN ROAD  TULLAMORE , CO. OFFALY  R35 FR98",353 1 215 8100
528,"Easterly Government Properties, Inc.",DEA,New York Stock Exchange,15.0,"12,000,000","$180,000,000",2015-02-06,/market-activity/ipos/overview?dealId=953277-77316,25,"22,368,379",335525685.0,2101 L STREET NW SUITE 650  WASHINGTON DC 20037,(202) 595-9500
529,"Avenue Financial Holdings, Inc.",AVNU,Nasdaq National Market,11.0,"2,500,000","$27,500,000",2015-02-10,/market-activity/ipos/overview?dealId=954625-77425,134,"10,009,800",110107800.0,111 10TH AVENUE SOUTH SUITE 400  NASHVILLE TN 37203,615-252-2265
530,InVitae Corp,NVTA,New York Stock Exchange,16.0,"6,350,000","$101,600,000",2015-02-12,/market-activity/ipos/overview?dealId=837176-77421,161,"30,799,284",492788544.0,1400 16TH STREET   SAN FRANCISCO CA 94103,(415) 374-7782
531,"Inovalon Holdings, Inc.",INOV,Nasdaq National Market,27.0,"22,222,222","$599,999,994",2015-02-12,/market-activity/ipos/overview?dealId=953774-77351,2474,"22,222,222",599999994.0,4321 COLLINGTON ROAD   BOWIE MD 20716,301-809-4000
532,"Bellerophon Therapeutics, Inc.",BLPH,Nasdaq National Market,12.0,"5,000,000","$60,000,000",2015-02-13,/market-activity/ipos/overview?dealId=928093-77444,48,"12,905,326",154863912.0,"184 LIBERTY CORNER ROAD, SUITE 302   WARREN NJ 07059",908-574-4770
533,Check-Cap Ltd,CHEKU,Nasdaq SmallCap Market,6.0,"2,000,000","$12,000,000",2015-02-19,/market-activity/ipos/overview?dealId=953270-77315,36,"10,137,580",60825480.0,ABBA HUSHI AVENUE P.O. BOX 1271  ISFIYA  3009000,972-4-8303400
534,Summit Therapeutics Inc.,SMMT,Nasdaq National Market,9.9,"3,450,000","$34,155,000",2015-03-05,/market-activity/ipos/overview?dealId=928879-77540,24,"3,450,000",34155000.0,ONE BROADWAY 14TH FLOOR  CAMBRIDGE MA 02142,617-514-7149
535,"MaxPoint Interactive, Inc.",MXPT,New York Stock Exchange,11.5,"6,500,000","$74,750,000",2015-03-06,/market-activity/ipos/overview?dealId=956526-77558,323,"25,566,243",294011794.5,3020 CARRINGTON MILL BLVD. SUITE 300  MORRISVILLE NC 27560,800-916-9960
536,"Summit Materials, Inc.",SUM,New York Stock Exchange,18.0,"22,222,222","$399,999,996",2015-03-12,/market-activity/ipos/overview?dealId=952736-77262,3990,"23,251,405",418525290.0,"1550 WYNKOOP STREET, 3RD FLOOR   DENVER CO 80202",3038930012
537,National Commerce Corp,NCOM,Nasdaq National Market,19.5,"1,700,000","$33,150,000",2015-03-19,/market-activity/ipos/overview?dealId=936642-77378,240,"9,183,541",179079049.5,600 LUCKIE DRIVE SUITE 350  BIRMINGHAM AL 35223,(205) 313-8101
538,SteadyMed Ltd.,STDY,Nasdaq National Market,8.5,"4,700,000","$39,950,000",2015-03-20,/market-activity/ipos/overview?dealId=956991-77602,22,"12,246,374",104094179.0,5 OPPENHEIMER STREET   REHOVOT  76701,(925) 272-4991
539,TANTECH HOLDINGS LTD,TANH,Nasdaq SmallCap Market,4.0,"3,200,000","$12,800,000",2015-03-24,/market-activity/ipos/overview?dealId=944893-76487,179,"21,600,000",86400000.0,"NO. 10 CEN SHAN RD, SHUIGE INDTRL ZONE LISHUL CITY  ZHEJIANG  323000",86 578 226 2309
540,Cellectis S.A.,CLLS,Nasdaq National Market,41.5,"5,500,000","$228,250,000",2015-03-25,/market-activity/ipos/overview?dealId=958510-77689,93,"34,946,721",1450288921.5,"8 RUE DE LA CROIX JARRY   PARIS, LLE-DE-FRANCE  75013",33181691600
541,"SOLAREDGE TECHNOLOGIES, INC.",SEDG,Nasdaq National Market,18.0,"7,000,000","$126,000,000",2015-03-26,/market-activity/ipos/overview?dealId=763462-77672,360,"38,065,042",685170756.0,1 HAMADA STREET   HERZILIYA PITUACH  4673335,972 (9) 957-6620
542,Franklin Financial Network Inc.,FSB,New York Stock Exchange,21.0,"2,640,000","$55,440,000",2015-03-26,/market-activity/ipos/overview?dealId=751372-77453,220,"10,457,385",219605085.0,722 COLUMBIA AVENUE   Franklin TN 37064,615-236-2265
543,GoDaddy Inc.,GDDY,New York Stock Exchange,20.0,"23,000,000","$460,000,000",2015-04-01,/market-activity/ipos/overview?dealId=936696-75671,4908,"61,825,912",1236518240.0,14455 N. HAYDEN ROAD   SCOTTSDALE AZ 85260,(480)505-8800
544,Kornit Digital Ltd.,KRNT,Nasdaq National Market,10.0,"7,100,000","$71,000,000",2015-04-02,/market-activity/ipos/overview?dealId=958879-77720,251,"28,701,965",287019650.0,12 HA'AMAL STREET AFEK PARK  ROSH-HA'AYIN  4809246,97239085800
545,Mercurity Fintech Holding Inc.,WOWO,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2015-04-08,/market-activity/ipos/overview?dealId=954614-77410,3049,"4,000,000",40000000.0,"ROOM 003, FLOOR 15, BUILDING NO.1 B NO. 38 ZHONGGUANCUN AVENUE  HAIDIAN DISTRICT, BEIJING  100086",(8610) 6266 8858
546,"KalVista Pharmaceuticals, Inc.",CBYL,Nasdaq National Market,5.0,"13,000,000","$65,000,000",2015-04-09,/market-activity/ipos/overview?dealId=695419-77336,14,"24,246,963",121234815.0,55 CAMBRIDGE PARKWAY SUITE 901E  CAMBRIDGE MA 02142,(857) 999-0075
547,"CHINOOK THERAPEUTICS, INC.",ADRO,Nasdaq National Market,17.0,"7,000,000","$119,000,000",2015-04-15,/market-activity/ipos/overview?dealId=778465-77844,53,"58,950,504",1002158568.0,1600 FAIRVIEW AVE E.   SEATTLE WA 98102,206-485-7051
548,XBiotech Inc.,XBIT,Nasdaq National Market,19.0,"4,000,000","$76,000,000",2015-04-15,/market-activity/ipos/overview?dealId=956398-77544,56,"31,716,631",602615989.0,"8201 E. RIVERSIDE DRIVE BUILDING 4, SUITE 100  AUSTIN TX 78744",512-386-2930
549,"Cidara Therapeutics, Inc.",CDTX,Nasdaq National Market,16.0,"4,800,000","$76,800,000",2015-04-15,/market-activity/ipos/overview?dealId=937299-77871,33,"13,494,118",215905888.0,6310 NANCY RIDGE DRIVE SUITE 101  SAN DIEGO CA 92121,858-752-6170
550,Party City Holdco Inc.,PRTY,New York Stock Exchange,17.0,"21,875,000","$371,875,000",2015-04-16,/market-activity/ipos/overview?dealId=925114-74453,18027,"115,971,525",1971515925.0,80 GRASSLANDS ROAD   ELMSFORD NY 10523,9143452020
551,"Virtu Financial, Inc.",VIRT,Nasdaq SmallCap Market,19.0,"16,532,272","$314,113,168",2015-04-16,/market-activity/ipos/overview?dealId=929391-74853,148,"31,825,212",604679028.0,ONE LIBERTY PLAZA 165 BROADWAY  NEW YORK NY 10006,212-418-0100
552,ETSY INC,ETSY,Nasdaq National Market,16.0,"16,666,666","$266,666,656",2015-04-16,/market-activity/ipos/overview?dealId=716408-77778,685,"110,962,515",1775400240.0,117 ADAMS STREET   BROOKLYN NY 11201,718-855-7956
553,"KEMPHARM, INC",KMPH,Nasdaq National Market,11.0,"5,090,909","$55,999,999",2015-04-16,/market-activity/ipos/overview?dealId=777878-77841,18,"13,462,674",148089414.0,"1180 CELEBRATION BOULEVARD, SUITE 103   CELEBRATION FL 34747",(321) 939-3416
554,National Storage Affiliates Trust,NSA,New York Stock Exchange,13.0,"20,000,000","$260,000,000",2015-04-23,/market-activity/ipos/overview?dealId=957876-77655,13,"42,131,021",547703273.0,8400 E. PRENTICE AVENUE 9TH FLOOR  GREENWOOD VILLAGE CO 80111,720-630-2600
555,Apigee Corp,APIC,Nasdaq National Market,17.0,"5,115,000","$86,955,000",2015-04-24,/market-activity/ipos/overview?dealId=671619-77923,404,"29,087,406",494485902.0,10 SOUTH ALMADEN BLVD. 16TH FLOOR  SAN JOSE CA 95113,408-343-7300
556,Blueprint Medicines Corp,BPMC,Nasdaq National Market,18.0,"8,145,834","$146,625,012",2015-04-30,/market-activity/ipos/overview?dealId=924997-77940,60,"25,831,965",464975370.0,45 SIDNEY STREET   CAMBRIDGE MA 02139,617-374-7580
557,"Black Stone Minerals, L.P.",BSM,New York Stock Exchange,19.0,"22,500,000","$427,500,000",2015-05-01,/market-activity/ipos/overview?dealId=960854-77921,117,"95,133,333",1807533327.0,"1001 FANNIN STREET, SUITE 2020   HOUSTON TX 77022",(713)658-0647
558,OPGEN INC,OPGN,Nasdaq SmallCap Market,6.0,"2,850,000","$17,100,000",2015-05-05,/market-activity/ipos/overview?dealId=639472-77762,29,"10,718,347",64310082.0,708 QUINCE ORCHARD ROAD SUITE 220  GAITHERSBURG MD 20878,240-813-1260
559,Adaptimmune Therapeutics PLC,ADAP,Nasdaq National Market,17.0,"11,250,000","$191,250,000",2015-05-06,/market-activity/ipos/overview?dealId=946117-78061,106,"70,785,317",1203350389.0,"60 JUBILEE AVENUE MILTON PARK  ABINGDON, OXFORDSHIRE  OX14 4RX",44 1235 430000
560,"HTG MOLECULAR DIAGNOSTICS, INC",HTGM,Nasdaq National Market,14.0,"3,570,000","$49,980,000",2015-05-06,/market-activity/ipos/overview?dealId=104854-77345,77,"6,735,965",94303510.0,3430 E. GLOBAL LOOP   TUCSON AZ 85706,877-289-2615
561,"COLLEGIUM PHARMACEUTICAL, INC",COLL,Nasdaq National Market,12.0,"5,800,000","$69,600,000",2015-05-07,/market-activity/ipos/overview?dealId=600781-78033,24,"19,707,935",236495220.0,100 TECHNOLOGY CENTER DRIVE   STOUGHTON MA 02072,781-713-3699
562,aTYR PHARMA INC,LIFE,Nasdaq National Market,14.0,"5,360,000","$75,040,000",2015-05-07,/market-activity/ipos/overview?dealId=686434-78065,49,"22,549,739",315696346.0,"3545 JOHN HOPKINS COURT, STE #250   SAN DIEGO CA 92121",858-731-8389
563,"Bojangles', Inc.",BOJA,Nasdaq National Market,19.0,"7,750,000","$147,250,000",2015-05-08,/market-activity/ipos/overview?dealId=962218-78062,8800,"35,903,836",682172884.0,9432 SOUTHERN PINE BOULEVARD   CHARLOTTE NC 28273,704.527.2675
564,BiondVax Pharmaceuticals Ltd.,BVXV,Nasdaq SmallCap Market,5.0,"1,910,000","$9,550,000",2015-05-12,/market-activity/ipos/overview?dealId=953605-77338,16,3267434,16337170.0,"JERUSALEM BIOPARK, 2ND FLOOR HADASSAH EIN KEREM CAMPUS  JERUSALEM  00000",972-8-9302529
565,"Jaguar Health, Inc.",JAGX,Nasdaq SmallCap Market,7.0,"2,860,000","$20,020,000",2015-05-13,/market-activity/ipos/overview?dealId=914820-76294,17,"8,119,923",56839461.0,200 PINE STREET SUITE 400   SAN FRANCISCO CA 94104,415-371-8300
566,GALAPAGOS NV,GLPG,Nasdaq SmallCap Market,42.05,"6,550,000","$275,427,500",2015-05-14,/market-activity/ipos/overview?dealId=765459-78133,417,"32,900,453",1383464048.6499999,GEN DE WITTELAAN L11 A3   2800 MECHELEN  00000,3215342900
567,"Fenix Parts, Inc.",FENX,Nasdaq National Market,8.0,"12,000,000","$96,000,000",2015-05-14,/market-activity/ipos/overview?dealId=945821-78082,523,"17,890,673",143125384.0,1 WESTBROOK CORPORATE CENTER SUITE 920  WESTCHESTER IL 60154,630-480-6413
568,"Arcadia Biosciences, Inc.",RKDA,Nasdaq National Market,8.0,"8,200,000","$65,600,000",2015-05-15,/market-activity/ipos/overview?dealId=809515-77663,76,"43,175,310",345402480.0,202 COUSTEAU PLACE SUITE 200  DAVIS  95618,602-429-0471
569,"Black Knight, Inc.",BKFS,New York Stock Exchange,24.5,"18,000,000","$441,000,000",2015-05-20,/market-activity/ipos/overview?dealId=953237-77309,4100,"65,302,455",1599910147.5,601 RIVERSIDE AVENUE   JACKSONVILLE FL 32204,904-854-5100
570,Baozun Inc.,BZUN,Nasdaq National Market,10.0,"11,000,000","$110,000,000",2015-05-21,/market-activity/ipos/overview?dealId=963262-78149,1708,"11,000,000",110000000.0,"BUILDING NO. H, NO. 1188 WANRONG ROAD ZHABEI DISTRICT  SHANGHAI  200436",(86-21)6095 6000
571,"Press Ganey Holdings, Inc.",PGND,New York Stock Exchange,25.0,"8,900,000","$222,500,000",2015-05-21,/market-activity/ipos/overview?dealId=962162-78055,996,"52,213,200",1305330000.0,"401 EDGEWATER PLACE, SUITE 500   WAKEFIELD MA 01880",7812955000
572,SHOPIFY INC.,SHOP,New York Stock Exchange,17.0,"7,700,000","$130,900,000",2015-05-21,/market-activity/ipos/overview?dealId=924106-78124,632,"7,700,000",130900000.0,151 O'CONNOR STREET GROUND FLOOR  OTTAWA  K2P 2L8,613-241-2828
573,ConforMIS Inc,CFMS,Nasdaq National Market,15.0,"9,000,000","$135,000,000",2015-07-01,/market-activity/ipos/overview?dealId=652145-78505,353,"39,086,637",586299555.0,600 TECHNOLOGY DRIVE   BILLERICA MA 01821,(781) 345-9001
574,"Unique Fabricating, Inc.",UFAB,American Stock Exchange,9.5,"2,350,000","$22,325,000",2015-07-01,/market-activity/ipos/overview?dealId=949127-76932,620,"9,089,998",86354981.0,800 STANDARD PARKWAY   AUBURN HILLS MI 48326,248-853-2333
575,"Teladoc Health, Inc.",TDOC,New York Stock Exchange,19.0,"8,250,000","$156,750,000",2015-07-01,/market-activity/ipos/overview?dealId=816414-78553,259,"37,046,346",703880574.0,2 MANHATTANVILLE ROAD SUITE 203  PURCHASE NY 10577,2036352002
576,"Natera, Inc.",NTRA,Nasdaq National Market,18.0,"10,000,000","$180,000,000",2015-07-02,/market-activity/ipos/overview?dealId=966846-78575,674,"48,427,337",871692066.0,13011 MCCALLEN PASS BUILDING A SUITE 100  AUSTIN TX 78753,650-249-9090
577,Hailiang Education Group Inc.,HLG,Nasdaq National Market,7.0,"2,858,000","$20,006,000",2015-07-07,/market-activity/ipos/overview?dealId=953462-77324,2255,"1,429,000",10003000.0,"1508 BINSHENG RD, BINJIANG DISTRICT, HANGZHOU CITY,  ZHEJIANG  310052",86 0571 58121974
578,"Ollie's Bargain Outlet Holdings, Inc.",OLLI,Nasdaq National Market,16.0,"8,925,000","$142,800,000",2015-07-16,/market-activity/ipos/overview?dealId=967922-78686,5000,"57,124,490",913991840.0,"6295 ALLENTOWN BOULEVARD, SUITE 1   HARRISBURG PA 17112",717 657-2300
579,"Sierra Oncology, Inc.",DNAI,Nasdaq National Market,17.0,"8,100,000","$137,700,000",2015-07-16,/market-activity/ipos/overview?dealId=635290-78678,40,"28,829,138",490095346.0,2150 ? 885 WEST GEORGIA STREET   VANCOUVER  V6C 3E8,604-558-6536
580,"CHIASMA, INC",CHMA,Nasdaq National Market,16.0,"6,365,000","$101,840,000",2015-07-16,/market-activity/ipos/overview?dealId=686107-78688,22,"22,974,642",367594272.0,140 KENDRICK STREET BUILDING C EAST  NEEDHAM MA 02494,617-928-5300
581,Jupai Holdings Ltd,JP,New York Stock Exchange,10.0,"5,300,000","$53,000,000",2015-07-16,/market-activity/ipos/overview?dealId=967929-78689,852,"5,300,000",53000000.0,"YINLI BUILDING, 8/F 788 GUANGZHONG ROAD  SHANGHAI  200072",86 21 6026-9003
582,"MasterCraft Boat Holdings, Inc.",MCFT,Nasdaq National Market,15.0,"6,071,429","$91,071,435",2015-07-17,/market-activity/ipos/overview?dealId=964343-78298,475,"17,210,426",258156390.0,100 CHEROKEE COVE DRIVE   VONORE TN 37855,(423) 884-2221
583,OOMA INC,OOMA,New York Stock Exchange,13.0,"5,000,000","$65,000,000",2015-07-17,/market-activity/ipos/overview?dealId=674544-78694,116,"16,952,585",220383605.0,525 ALMANOR AVENUE SUITE 200  SUNNYVALE CA 94085,6505666610
584,"Rapid7, Inc.",RPD,Nasdaq National Market,16.0,"6,450,000","$103,200,000",2015-07-17,/market-activity/ipos/overview?dealId=891765-78660,554,"37,784,917",604558672.0,120 CAUSEWAY STREET   BOSTON MA 02114,617-247-1717
585,"Blue Buffalo Pet Products, Inc.",BUFF,Nasdaq National Market,20.0,"33,831,554","$676,631,080",2015-07-22,/market-activity/ipos/overview?dealId=967510-78649,1700,"196,070,407",3921408140.0,11 RIVER ROAD SUITE 103  WILTON CT 06897,(203) 762-9751
586,"Neos Therapeutics, Inc.",NEOS,Nasdaq National Market,15.0,"4,800,000","$72,000,000",2015-07-23,/market-activity/ipos/overview?dealId=807805-78743,62,"14,488,716",217330740.0,2940 N. HIGHWAY 360 SUITE 400  GRAND PRAIRIE TX 75050,972.408.1360
587,"Live Oak Bancshares, Inc.",LOB,Nasdaq National Market,17.0,"4,800,000","$81,600,000",2015-07-23,/market-activity/ipos/overview?dealId=803316-78750,263,"33,454,860",568732620.0,1741 TIBURON DRIVE   WILMINGTON NC 28403,910-790-5867
588,"ImmunityBio, Inc.",NK,Nasdaq National Market,25.0,"8,288,000","$207,200,000",2015-07-28,/market-activity/ipos/overview?dealId=672710-78749,15,"78,931,632",1973290800.0,3530 JOHN HOPKINS COURT   SAN DIEGO CA 92121,(858) 633-0300
589,vTv Therapeutics Inc.,VTVT,Nasdaq National Market,15.0,"7,812,500","$117,187,500",2015-07-30,/market-activity/ipos/overview?dealId=967930-78690,35,"7,812,500",117187500.0,3980 PREMIER DR SUITE 310  HIGH POINT NC 27265,336-841-0300
590,"Aqua Metals, Inc.",AQMS,Nasdaq SmallCap Market,5.0,"6,600,000","$33,000,000",2015-07-31,/market-activity/ipos/overview?dealId=946653-78638,13,"13,425,384",67126920.0,2500 PERU DR.   MCCARRAN NV 89437,(775) 525-1936
591,"XCel Brands, Inc.",XELB,Nasdaq National Market,9.0,"1,800,000","$16,200,000",2015-07-31,/market-activity/ipos/overview?dealId=61156-77621,64,"17,991,689",161925201.0,1333 BROADWAY 10TH FLOOR  NEW YORK NY 10018,(347) 727-2474
592,FULING GLOBAL INC.,FORK,Nasdaq SmallCap Market,5.0,"4,000,000","$20,000,000",2015-11-04,/market-activity/ipos/overview?dealId=971511-79039,1110,"15,666,667",78333335.0,"88 JINTANG SOUTH AVE. EAST NEW DISTRICT  WENLING, ZHEJIANG PROVINCE  317509",8657686623058
593,"Kura Oncology, Inc.",KURA,Nasdaq National Market,8.0,"6,250,000","$50,000,000",2015-11-05,/market-activity/ipos/overview?dealId=769251-79627,25,"20,758,177",166065416.0,"12730 HIGH BLUFF DRIVE, SUITE 400   SAN DIEGO CA 92130",(858) 500-8800
594,EQUITY BANCSHARES INC,EQBK,Nasdaq National Market,22.5,"1,940,000","$43,650,000",2015-11-11,/market-activity/ipos/overview?dealId=403446-79553,262,"6,859,017",154327882.5,"7701 E. KELLOGG DRIVE, SUITE 200   WICHITA KS 67207",316-612-6000
595,"Voyager Therapeutics, Inc.",VYGR,Nasdaq National Market,14.0,"5,000,000","$70,000,000",2015-11-11,/market-activity/ipos/overview?dealId=963623-79558,49,"26,034,710",364485940.0,75 SIDNEY STREET   CAMBRIDGE MA 02139,857-259-5340
596,Wave Life Sciences Ltd.,WVE,Nasdaq National Market,16.0,"6,375,000","$102,000,000",2015-11-11,/market-activity/ipos/overview?dealId=956413-79562,28,"20,933,297",334932752.0,"7 STRAITS VIEW #12-00, MARINA ONE EAST TOWER  SINGAPORE  018936",617-949-2900
597,Advanced Accelerator Applications S.A.,AAAP,Nasdaq National Market,16.0,"4,688,000","$75,008,000",2015-11-11,/market-activity/ipos/overview?dealId=949822-79499,368,"38,574,906",617198496.0,20 RUE DIESEL   01630 SAINT GENIS POUILLY  00000,33 4 50 99 30 70
598,"XTERA COMMUNICATIONS, INC.",XCOM,Nasdaq National Market,5.0,"5,000,000","$25,000,000",2015-11-12,/market-activity/ipos/overview?dealId=107924-79522,108,"17,110,138",85550690.0,500 WEST BETHANY DRIVE SUITE 100  ALLEN TX 75013,972-649-5000
599,MESOBLAST LTD,MESO,Nasdaq National Market,8.0,"7,479,617","$59,836,936",2015-11-13,/market-activity/ipos/overview?dealId=691546-79701,115,"7,753,214",62025712.0,"LEVEL 38 55 COLLINS STREET  MELBOURNE, VICTORIA  3000",613 9639 6036
600,INSTRUCTURE INC,INST,New York Stock Exchange,16.0,"4,400,000","$70,400,000",2015-11-13,/market-activity/ipos/overview?dealId=701899-79552,709,"26,535,566",424569056.0,"6330 SOUTH 3000 EAST, SUITE 700   SALT LAKE CITY UT 84121",(800) 203-6755
601,Mimecast Ltd,MIME,Nasdaq National Market,10.0,"7,750,000","$77,500,000",2015-11-19,/market-activity/ipos/overview?dealId=977409-79593,619,"54,002,598",540025980.0,1 FINSBURY AVENUE   LONDON  EC2M 2PF,44(0)2078478700
602,"Match Group Holdings II, LLC",MTCH,Nasdaq National Market,12.0,"33,333,333","$399,999,996",2015-11-19,/market-activity/ipos/overview?dealId=905768-79612,4800,"33,333,333",399999996.0,8750 NORTH CENTRAL EXPRESSWAY SUITE 1400  DALLAS TX 75231,(214) 576-9352
603,"Square, Inc.",SQ,New York Stock Exchange,9.0,"27,000,000","$243,000,000",2015-11-19,/market-activity/ipos/overview?dealId=849216-79576,1282,"27,000,000",243000000.0,1455 MARKET STREET SUITE 600  SAN FRANCISCO CA 94103,415-375-3176
604,DULUTH HOLDINGS INC.,DLTH,Nasdaq National Market,12.0,"6,666,667","$80,000,004",2015-11-20,/market-activity/ipos/overview?dealId=976572-79529,1316,"27,928,411",335140932.0,201 EAST FRONT STREET   MOUNT HOREB WI 53572,608 424-1544
605,"NantHealth, Inc.",NH,Nasdaq National Market,14.0,"6,500,000","$91,000,000",2016-06-02,/market-activity/ipos/overview?dealId=897337-80838,864,"120,732,690",1690257660.0,9920 JEFFERSON BLVD   CULVER CITY CA 90232,(310) 853-7513
