,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href,employees,shares_outstanding,stock_valuation,company_address,phone,sicdescription,ebit,grossprofit,netincome,totalrevenue,costofrevenue,totalassets,revenue_growth
139,"AMC ENTERTAINMENT HOLDINGS, INC.",AMC,New York Stock Exchange,18.0,"18,421,053","$331,578,954",2013-12-18,/market-activity/ipos/overview?dealId=756645-73371,19000,"18,921,691",340590438.0,ONE AMC WAY 11500 ASH STREET  LEAWOOD KS 66211,913-213-2000,Services-Motion Picture Theaters,96678000.0,1512342000.0,-94098000.0,2521977000.0,1009635000.0,3640267000.0,0.06748632191312902
140,"Arista Networks, Inc.",ANET,New York Stock Exchange,43.0,"5,250,000","$225,750,000",2014-06-06,/market-activity/ipos/overview?dealId=931003-75019,850,"63,582,416",2734043888.0,5453 GREAT AMERICA PARKWAY   SANTA CLARA CA 95054,408-547-5500,Computer Communications Equipment,66148000.0,238538000.0,42460000.0,361224000.0,122686000.0,364520000.0,0.8676786896095301
141,Trinseo S.A.,TSE,New York Stock Exchange,19.0,"10,000,000","$190,000,000",2014-06-12,/market-activity/ipos/overview?dealId=858520-74892,2129,"47,269,567",898121773.0,1000 CHESTERBROOK BOULEVARD SUITE 3000  BERWYN PA 19312,610-240-3200,"Plastic Materials, Synthetic Resins and Nonvulcan Elastomers",141152000.0,358010000.0,-22218000.0,5307414000.0,4949404000.0,2574781000.0,-0.026503560495965726
142,ASPEN AEROGELS INC,ASPN,New York Stock Exchange,11.0,"7,500,000","$82,500,000",2014-06-13,/market-activity/ipos/overview?dealId=97015-75261,226,"23,000,000",253000000.0,30 FORBES ROAD BUILDING B  NORTHBOROUGH MA 01532,5086911111,Wholesale-Lumber and Other Construction Materials,-19972000.0,10731000.0,-47611000.0,86094000.0,75363000.0,90233000.0,0.35681528060139
143,"Century Communities, Inc.",CCS,New York Stock Exchange,23.0,"4,480,000","$103,040,000",2014-06-18,/market-activity/ipos/overview?dealId=906555-75324,181,"21,452,587",493409501.0,"8390 E. CRESCENT PKWY., SUITE 650   GREENWOOD VILLAGE CO 80111",303.770.8300,Operative Builders,17860000.0,41482000.0,12379000.0,171133000.0,129651000.0,312639000.0,0.7820785171300635
144,Xunlei Ltd,XNET,Nasdaq National Market,12.0,"7,315,000","$87,780,000",2014-06-24,/market-activity/ipos/overview?dealId=857196-75531,1513,"7,315,000",87780000.0,"20-23/F BLOCK B, NO.12 BUILDING, NO.18 KEJI SOUTH ROAD, YUEHAI STREET, NANSHAN  SHENZHEN  518057",(86-755) 2603-5888,Services-Prepackaged Software,17618000.0,67869000.0,10662000.0,118127000.0,50258000.0,244403000.0,-0.1593640808135439
145,"Amphastar Pharmaceuticals, Inc.",AMPH,Nasdaq National Market,7.0,"8,000,000","$56,000,000",2014-06-25,/market-activity/ipos/overview?dealId=663987-75489,1217,"43,405,940",303841580.0,11570 SIXTH STREET   RANCHO CUCAMONGA CA 91730,909-980-9484,Pharmaceutical Preparations,17490000.0,86956000.0,11862000.0,229681000.0,142725000.0,338748000.0,0.12410741815654626
146,MATERIALISE NV,MTLS,Nasdaq National Market,12.0,"8,000,000","$96,000,000",2014-06-25,/market-activity/ipos/overview?dealId=217520-75043,997,"8,000,000",96000000.0,TECHNOLOGIELAAN 15 3001 LEVUEN BELGIUM  BELGIUM,--,Services-Prepackaged Software,6091000.0,57231000.0,4702000.0,94696000.0,37465000.0,76736000.0,0.21518857392174728
147,"GoPro, Inc.",GPRO,Nasdaq National Market,24.0,"17,800,000","$427,200,000",2014-06-26,/market-activity/ipos/overview?dealId=837601-75484,718,"17,800,000",427200000.0,3025 CLEARVIEW WAY   SAN MATEO CA 94402,650-332-7600,Photographic Equipment and Supplies,98703000.0,361784000.0,60578000.0,985737000.0,623953000.0,439671000.0,0.8739677120087602
148,"Michaels Companies, Inc.",MIK,Nasdaq National Market,17.0,"27,777,778","$472,222,226",2014-06-27,/market-activity/ipos/overview?dealId=922897-74257,50200,"203,103,839",3452765263.0,3939 WEST JOHN CARPENTER FREEWAY   IRVING TX 75063,9724091300,"Retail-Hobby, Toy and Game Shops",592000000.0,1765000000.0,200000000.0,4408000000.0,2643000000.0,1555000000.0,0.04703087885985748
149,GLOBEIMMUNE INC,GBIM,Nasdaq SmallCap Market,10.0,"1,500,000","$15,000,000",2014-07-02,/market-activity/ipos/overview?dealId=412454-74901,25,"5,519,200",55192000.0,1450 INFINITE DRIVE   LOUISVILLE CO 80027,3036252744,Pharmaceutical Preparations,7687692.0,13494119.0,9476699.0,22518369.0,9024250.0,7417939.0,0.537971244411303
150,IRADIMED CORP,IRMD,Nasdaq SmallCap Market,6.25,"2,016,000","$12,600,000",2014-07-16,/market-activity/ipos/overview?dealId=672765-75760,46,"10,416,000",65100000.0,1025 WILLA SPRINGS DR.   WINTER SPRINGS FL 32708,4076778022,Surgical and Medical Instruments and Apparatus,2787226.0,8486712.0,1936890.0,11340097.0,2853385.0,6986871.0,0.4756027310648543
151,"CareDx, Inc.",CDNA,Nasdaq National Market,10.0,"4,000,000","$40,000,000",2014-07-17,/market-activity/ipos/overview?dealId=394296-75619,55,"11,570,552",115705520.0,1 TOWER PLACE 9TH FLOOR  SOUTH SAN FRANCISCO CA 94080,415-287-2300,Services-Medical Laboratories,-857000.0,13020000.0,-3542000.0,22098000.0,9078000.0,9873000.0,0.08053395921959806
152,"TRUPANION, INC.",TRUP,New York Stock Exchange,10.0,"7,125,000","$71,250,000",2014-07-18,/market-activity/ipos/overview?dealId=717071-75737,335,"26,558,716",265587160.0,6100 4TH AVENUE SOUTH SUITE 200  SEATTLE WA 98108,888-733-2685,Hospital and Medical Service Plans,-6987000.0,15644000.0,-8175000.0,83829000.0,68185000.0,51653000.0,0.5096164235548353
153,Globant S.A.,GLOB,New York Stock Exchange,10.0,"5,850,000","$58,500,000",2014-07-18,/market-activity/ipos/overview?dealId=914229-73348,3322,"33,345,158",333451580.0,37A AVENUE J.F. KENNEDY   N/A  L-1855,35 220301596,Services-Computer Processing and Data Preparation,-5699000.0,58721000.0,13769000.0,158324000.0,99603000.0,111747000.0,0.2287561409091262
154,"CareCloud, Inc.",MTBC,Nasdaq SmallCap Market,5.0,"4,080,000","$20,400,000",2014-07-23,/market-activity/ipos/overview?dealId=922876-74253,1095,"10,982,944",54914720.0,7 CLYDE ROAD SOMERSET  SOMERSET NJ 08873,7328735133,Services-Prepackaged Software,-127516.0,6199772.0,-177996.0,10472751.0,4272979.0,5772614.0,0.04544682259664299
155,"Townsquare Media, Inc.",TSQ,New York Stock Exchange,11.0,"8,333,333","$91,666,663",2014-07-24,/market-activity/ipos/overview?dealId=835956-75824,2680,"8,767,242",96439662.0,"1 MANHATTANVILLE ROAD, SUITE 202   PURCHASE NY 10577",203-861-0900,Radio Broadcasting Stations,46150000.0,81430000.0,10111000.0,268578000.0,187148000.0,939203000.0,0.2058131599741398
156,"Intersect ENT, Inc.",XENT,Nasdaq National Market,11.0,"5,000,000","$55,000,000",2014-07-24,/market-activity/ipos/overview?dealId=607313-75810,146,"22,501,808",247519888.0,1555 ADAMS DRIVE   MENLO PARK CA 94025,650-641-2100,Surgical and Medical Instruments and Apparatus,-17966000.0,9781000.0,-18369000.0,17931000.0,8150000.0,21035000.0,2.0583319119904484
157,Orion Engineered Carbons S.A.,OEC,New York Stock Exchange,18.0,"19,500,000","$351,000,000",2014-07-25,/market-activity/ipos/overview?dealId=936624-75663,1386,"59,635,126",1073432268.0,4501 MAGNOLIA COVE DRIVE SUITE 106   HOUSTON TX 77345,(281) 381-2959,Miscellaneous Chemical Products,115491000.0,370400000.0,-26116000.0,1845944000.0,1475544000.0,1387558000.0,0.001859955701901258
158,"OCULAR THERAPEUTIX, INC",OCUL,Nasdaq National Market,13.0,"5,000,000","$65,000,000",2014-07-25,/market-activity/ipos/overview?dealId=738056-75787,58,"20,569,490",267403370.0,24 CROSBY DRIVE   BEDFORD MA 01730,781-895-3235,Pharmaceutical Preparations,-12903000.0,0.0,-13317000.0,0.0,0.0,19146000.0,-1.0
159,"El Pollo Loco Holdings, Inc.",LOCO,Nasdaq National Market,15.0,"7,142,857","$107,142,855",2014-07-25,/market-activity/ipos/overview?dealId=937846-75823,4460,"35,858,407",537876105.0,3535 HARBOR BOULEVARD SUITE 100  COSTA MESA CA 92626,7145995000,Retail-Eating Places,42860000.0,82319000.0,-16873000.0,314727000.0,232408000.0,416942000.0,0.07192193726371718
160,"ADVANCED DRAINAGE SYSTEMS, INC.",WMS,New York Stock Exchange,16.0,"14,500,000","$232,000,000",2014-07-25,/market-activity/ipos/overview?dealId=931265-75042,3700,"52,748,211",843971376.0,4640 TRUEMAN BOULEVARD   HILLIARD OH 43026,614-658-0050,Plastics Foam Products,56527000.0,187961000.0,20660000.0,1017102000.0,829141000.0,907739000.0,0.0033005969878353372
161,"Spark Energy, Inc.",SPKE,Nasdaq National Market,18.0,"3,000,000","$54,000,000",2014-07-29,/market-activity/ipos/overview?dealId=935960-75578,137,"3,000,000",54000000.0,12140 WICKCHESTER LANE SUITE 100  HOUSTON TX 77079,(713) 600-2600,Electric and Other Services Combined,32829000.0,84064000.0,31412000.0,317090000.0,233026000.0,109073000.0,-0.16348776717265248
162,"Catalent, Inc.",CTLT,New York Stock Exchange,20.5,"42,500,000","$871,250,000",2014-07-31,/market-activity/ipos/overview?dealId=925423-74481,8000,"117,321,337",2405087408.5,14 SCHOOLHOUSE ROAD   SOMERSET NJ 08873,(732) 537-6200,Pharmaceutical Preparations,204400000.0,568600000.0,-49600000.0,1800300000.0,1231700000.0,2949500000.0,0.062249232947840454
163,"T2 Biosystems, Inc.",TTOO,Nasdaq National Market,11.0,"5,200,000","$57,200,000",2014-08-07,/market-activity/ipos/overview?dealId=829540-75896,68,"19,196,984",211166824.0,101 HARTWELL AVENUE   LEXINGTON MA 02421,781-457-1200,Surgical and Medical Instruments and Apparatus,-19692000.0,266000.0,-20610000.0,266000.0,0.0,31885000.0,13.0
164,Ryerson Holding Corp,RYI,New York Stock Exchange,11.0,"11,000,000","$121,000,000",2014-08-08,/market-activity/ipos/overview?dealId=819902-63185,3650,"32,037,500",352412500.0,"227 W. MONROE ST., 27TH FLOOR   CHICAGO IL 60606",312 292-5000,Wholesale-Metals Service Centers and Offices,124600000.0,616600000.0,127300000.0,3460300000.0,2843700000.0,1951800000.0,-0.14023405471215244
165,"Independence Contract Drilling, Inc.",ICD,New York Stock Exchange,11.0,"10,000,000","$110,000,000",2014-08-08,/market-activity/ipos/overview?dealId=877042-75781,238,"22,855,155",251406705.0,20475 STATE HIGHWAY 249 SUITE 300  HOUSTON TX 77070,2815981230,Drilling Oil and Gas Wells,-4712000.0,14385000.0,-1997000.0,42786000.0,28401000.0,184968000.0,1.829200555445348
166,ReWalk Robotics Ltd.,RWLK,Nasdaq National Market,12.0,"3,000,000","$36,000,000",2014-09-12,/market-activity/ipos/overview?dealId=939127-75947,63,"11,370,936",136451232.0,3 HATNUFA ST. FLOOR 6  YOKNEAM ILIT  2069203,97249590123,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",-8745000.0,-429000.0,-12177000.0,1588000.0,2017000.0,11059000.0,0.6337448559670782
167,Alibaba Group Holding Ltd,BABA,New York Stock Exchange,68.0,"320,106,100","$21,767,214,800",2014-09-19,/market-activity/ipos/overview?dealId=934140-75355,22072,"320,106,100",21767214800.0,"26/F TOWER ONE TIMES SQUARE, 1 MATHESON STREET  CAUSEWAY BAY  00000",852-2215-5100,"Services-Business Services, Not Elsewhere Classified",1730000000.0,3990000000.0,1373000000.0,5553000000.0,1564000000.0,10262000000.0,0.7462264150943396
168,ICL Group Ltd.,ICL,New York Stock Exchange,7.0,"60,158,143","$421,107,001",2014-09-24,/market-activity/ipos/overview?dealId=88538-76454,12275,"1,270,425,548",8892978836.0,"MILLENNIUM TOWER 23 ARANHA STREET, P.O. BOX 20245  TEL AVIV  61202",(972-3) 684-4400,Agricultural Chemicals,1101000000.0,2410000000.0,819000000.0,6272000000.0,3862000000.0,7973485000.0,-0.03081744027945588
169,CyberArk Software Ltd.,CYBR,Nasdaq National Market,16.0,"900,000","$14,400,000",2014-09-24,/market-activity/ipos/overview?dealId=937836-75819,487,"31,657,908",506526528.0,"94 EM-HA'MOSHAVOT RD. PARK OFER, P.O. BOX 3143  PETACH-TIKVA  4970602",97239180000,Services-Prepackaged Software,9079000.0,57081000.0,6635000.0,66157000.0,9076000.0,89632000.0,0.4013938315539739
170,NEVRO CORP,NVRO,New York Stock Exchange,18.0,"7,000,000","$126,000,000",2014-11-06,/market-activity/ipos/overview?dealId=787003-76625,114,"23,543,131",423776358.0,1800 BRIDGE PARKWAY   REDWOOD CITY CA 94065,650-251-0005,Surgical and Medical Instruments and Apparatus,-25151000.0,14027000.0,-26014000.0,23500000.0,9473000.0,75411000.0,0.29476584022038566
171,"Upland Software, Inc.",UPLD,Nasdaq National Market,12.0,"3,846,154","$46,153,848",2014-11-06,/market-activity/ipos/overview?dealId=841074-76385,296,"14,335,673",172028076.0,401 CONGRESS AVE. SUITE 1850  AUSTIN TX 78701,512-960-1010,Services-Prepackaged Software,-4619000.0,27726000.0,-9197000.0,41193000.0,13467000.0,94847000.0,0.8096472345472917
172,"Freshpet, Inc.",FRPT,Nasdaq National Market,15.0,"10,416,667","$156,250,005",2014-11-07,/market-activity/ipos/overview?dealId=944700-76458,150,"31,799,037",476985555.0,"400 PLAZA DRIVE, 1ST FLOOR   SECAUCUS NJ 07094",201-520-4000,Grain Mill Products,-12380676.0,27192941.0,-21687155.0,63150776.0,35957835.0,62617224.0,0.4510927881206985
173,JOINT Corp,JYNT,Nasdaq SmallCap Market,6.5,"3,000,000","$19,500,000",2014-11-11,/market-activity/ipos/overview?dealId=945230-76517,19,"9,171,601",59615406.5,16767 N PERIMETER DRIVE SUITE 110  SCOTTSDALE AZ 85260,480 245 5960,Patent Owners and Lessors,439789.0,3951871.0,155635.0,5958067.0,2006196.0,9768435.0,1.139386385784695
174,Axalta Coating Systems Ltd.,AXTA,New York Stock Exchange,19.5,"50,000,000","$975,000,000",2014-11-12,/market-activity/ipos/overview?dealId=942823-76245,12650,"229,069,356",4466852442.0,"TWO COMMERCE SQUARE 2001 MARKET STREET, SUITE 3600  PHILADELPHIA PA 19103",(855) 547-1461,"Paints, Varnishes, Lacquers, Enamels and Allied Prods",24900000.0,1214000000.0,-224900000.0,3986800000.0,2772800000.0,6737100000.0,-0.06342792708137568
175,"PRA Health Sciences, Inc.",PRAH,Nasdaq National Market,18.0,"16,976,744","$305,581,392",2014-11-13,/market-activity/ipos/overview?dealId=944073-76420,10600,"57,262,377",1030722786.0,4130 PARKLAKE AVENUE SUITE 400  RALEIGH NC 27612,9197868200,Services-Commercial Physical and Biological Research,-33730000.0,306023000.0,-88333000.0,991286000.0,685263000.0,2394734000.0,0.416657139263951
176,SECOND SIGHT MEDICAL PRODUCTS INC,EYES,Nasdaq SmallCap Market,9.0,"3,500,000","$31,500,000",2014-11-19,/market-activity/ipos/overview?dealId=599854-76175,126,"34,625,573",311630157.0,"12744 SAN FERNANDO ROAD, BLDG. 3   SYLMAR CA 91342",818-833-5000,Electromedical and Electrotherapeutic Apparatus,-17998000.0,-4064000.0,-22969000.0,1565000.0,5629000.0,12673421.0,0.14465515526351205
177,"NEW RELIC, INC.",NEWR,New York Stock Exchange,23.0,"5,000,000","$115,000,000",2014-12-12,/market-activity/ipos/overview?dealId=790196-76935,534,"46,045,775",1059052825.0,"188 SPEAR STREET, STE. 1000   SAN FRANCISCO CA 94105",650-777-7600,Services-Prepackaged Software,-22397000.0,24586000.0,-22541000.0,29664000.0,5078000.0,76907000.0,1.543427934493698
178,WORKIVA INC,WK,New York Stock Exchange,14.0,"7,200,000","$100,800,000",2014-12-12,/market-activity/ipos/overview?dealId=787804-76751,949,"27,097,876",379370264.0,2900 UNIVERSITY BLVD.   AMES IA 50010,(515) 817-6100,Services-Prepackaged Software,-29282000.0,60502000.0,-29544000.0,85151000.0,24649000.0,73944000.0,0.6085042880350598
179,"BELLICUM PHARMACEUTICALS, INC",BLCM,Nasdaq National Market,19.0,"7,350,000","$139,650,000",2014-12-18,/market-activity/ipos/overview?dealId=704393-77028,30,"25,849,571",491141849.0,3730 KIRBY DRIVE SUITE 1200  HOUSTON TX 77098,(832) 384-1100,Pharmaceutical Preparations,-7922000.0,1941000.0,-7969000.0,1941000.0,0.0,14941638.0,0.32011181163412294
180,"Easterly Government Properties, Inc.",DEA,New York Stock Exchange,15.0,"12,000,000","$180,000,000",2015-02-06,/market-activity/ipos/overview?dealId=953277-77316,25,"22,368,379",335525685.0,2101 L STREET NW SUITE 650  WASHINGTON DC 20037,(202) 595-9500,Real Estate Investment Trusts,-3612000.0,6324000.0,2396000.0,6324000.0,0.0,300505000.0,0.5786320519221169
181,InVitae Corp,NVTA,New York Stock Exchange,16.0,"6,350,000","$101,600,000",2015-02-12,/market-activity/ipos/overview?dealId=837176-77421,161,"30,799,284",492788544.0,1400 16TH STREET   SAN FRANCISCO CA 94103,(415) 374-7782,Services-Medical Laboratories,-47352000.0,-4020000.0,-47492000.0,1604000.0,5624000.0,128778000.0,9.837837837837839
182,"Inovalon Holdings, Inc.",INOV,Nasdaq National Market,27.0,"22,222,222","$599,999,994",2015-02-12,/market-activity/ipos/overview?dealId=953774-77351,2474,"22,222,222",599999994.0,4321 COLLINGTON ROAD   BOWIE MD 20716,301-809-4000,Services-Computer Processing and Data Preparation,110061000.0,248779000.0,65352000.0,361540000.0,112761000.0,342569000.0,0.22225302402315095
183,"Summit Materials, Inc.",SUM,New York Stock Exchange,18.0,"22,222,222","$399,999,996",2015-03-12,/market-activity/ipos/overview?dealId=952736-77262,3990,"23,251,405",418525290.0,"1550 WYNKOOP STREET, 3RD FLOOR   DENVER CO 80202",3038930012,Mining and Quarrying Of Nonmetallic Minerals (No Fuels),69959000.0,317071000.0,0.0,1204231000.0,887160000.0,1712653000.0,0.3143742475723122
184,TANTECH HOLDINGS LTD,TANH,Nasdaq SmallCap Market,4.0,"3,200,000","$12,800,000",2015-03-24,/market-activity/ipos/overview?dealId=944893-76487,179,"21,600,000",86400000.0,"NO. 10 CEN SHAN RD, SHUIGE INDTRL ZONE LISHUL CITY  ZHEJIANG  323000",86 578 226 2309,Industrial Organic Chemicals,17173742.0,20640112.0,13981040.0,65493106.0,44852994.0,78708594.0,0.06979013147193561
185,"SOLAREDGE TECHNOLOGIES, INC.",SEDG,Nasdaq National Market,18.0,"7,000,000","$126,000,000",2015-03-26,/market-activity/ipos/overview?dealId=763462-77672,360,"38,065,042",685170756.0,1 HAMADA STREET   HERZILIYA PITUACH  4673335,972 (9) 957-6620,Semiconductors and Related Devices,-18371000.0,21971000.0,-21378000.0,133217000.0,111246000.0,74998000.0,0.6855443790725628
186,GoDaddy Inc.,GDDY,New York Stock Exchange,20.0,"23,000,000","$460,000,000",2015-04-01,/market-activity/ipos/overview?dealId=936696-75671,4908,"61,825,912",1236518240.0,14455 N. HAYDEN ROAD   SCOTTSDALE AZ 85260,(480)505-8800,Services-Computer Integrated Systems Design,-61900000.0,868900000.0,-143300000.0,1387300000.0,518400000.0,3260700000.0,0.22683056243367528
187,Kornit Digital Ltd.,KRNT,Nasdaq National Market,10.0,"7,100,000","$71,000,000",2015-04-02,/market-activity/ipos/overview?dealId=958879-77720,251,"28,701,965",287019650.0,12 HA'AMAL STREET AFEK PARK  ROSH-HA'AYIN  4809246,97239085800,Printing Trades Machinery and Equipment,3820000.0,29177000.0,3023000.0,66364000.0,37187000.0,34592000.0,0.3435367952221885
188,Party City Holdco Inc.,PRTY,New York Stock Exchange,17.0,"21,875,000","$371,875,000",2015-04-16,/market-activity/ipos/overview?dealId=925114-74453,18027,"115,971,525",1971515925.0,80 GRASSLANDS ROAD   ELMSFORD NY 10523,9143452020,Retail-Miscellaneous Retail,243142000.0,895551000.0,56123000.0,2271257000.0,1375706000.0,3336491000.0,0.11057775291634252
189,ETSY INC,ETSY,Nasdaq National Market,16.0,"16,666,666","$266,666,656",2015-04-16,/market-activity/ipos/overview?dealId=716408-77778,685,"110,962,515",1775400240.0,117 ADAMS STREET   BROOKLYN NY 11201,718-855-7956,"Services-Business Services, Not Elsewhere Classified",-6251000.0,121958000.0,-15243000.0,195591000.0,73633000.0,246203000.0,0.5644526563324855
190,National Storage Affiliates Trust,NSA,New York Stock Exchange,13.0,"20,000,000","$260,000,000",2015-04-23,/market-activity/ipos/overview?dealId=957876-77655,13,"42,131,021",547703273.0,8400 E. PRENTICE AVENUE 9TH FLOOR  GREENWOOD VILLAGE CO 80111,720-630-2600,Real Estate Investment Trusts,17083000.0,49057000.0,0.0,76970000.0,27913000.0,832746000.0,0.9163927895627926
191,"Black Stone Minerals, L.P.",BSM,New York Stock Exchange,19.0,"22,500,000","$427,500,000",2015-05-01,/market-activity/ipos/overview?dealId=960854-77921,117,"95,133,333",1807533327.0,"1001 FANNIN STREET, SUITE 2020   HOUSTON TX 77022",(713)658-0647,Crude Petroleum and Natural Gas,181709000.0,477513000.0,169187000.0,548321000.0,70808000.0,1326782000.0,0.18285051093819774
192,OPGEN INC,OPGN,Nasdaq SmallCap Market,6.0,"2,850,000","$17,100,000",2015-05-05,/market-activity/ipos/overview?dealId=639472-77762,29,"10,718,347",64310082.0,708 QUINCE ORCHARD ROAD SUITE 220  GAITHERSBURG MD 20878,240-813-1260,Services-Medical Laboratories,-5564681.0,3174641.0,-5671470.0,4126378.0,951737.0,2654931.0,0.7117589055370701
193,"HTG MOLECULAR DIAGNOSTICS, INC",HTGM,Nasdaq National Market,14.0,"3,570,000","$49,980,000",2015-05-06,/market-activity/ipos/overview?dealId=104854-77345,77,"6,735,965",94303510.0,3430 E. GLOBAL LOOP   TUCSON AZ 85706,877-289-2615,Laboratory Analytical Instruments,-12848859.0,124042.0,-13958408.0,3328957.0,3204915.0,8728246.0,0.48410617224948643
194,"Arcadia Biosciences, Inc.",RKDA,Nasdaq National Market,8.0,"8,200,000","$65,600,000",2015-05-15,/market-activity/ipos/overview?dealId=809515-77663,76,"43,175,310",345402480.0,202 COUSTEAU PLACE SUITE 200  DAVIS  95618,602-429-0471,Agricultural Production-Crops,-15153000.0,4985000.0,-18339000.0,6982000.0,1997000.0,24889000.0,0.07780179067613462
195,Baozun Inc.,BZUN,Nasdaq National Market,10.0,"11,000,000","$110,000,000",2015-05-21,/market-activity/ipos/overview?dealId=963262-78149,1708,"11,000,000",110000000.0,"BUILDING NO. H, NO. 1188 WANRONG ROAD ZHABEI DISTRICT  SHANGHAI  200436",(86-21)6095 6000,Retail-Catalog and Mail-Order Houses,-9164000.0,80317000.0,-9641000.0,255387000.0,175070000.0,140637000.0,0.015935969703358647
196,SHOPIFY INC.,SHOP,New York Stock Exchange,17.0,"7,700,000","$130,900,000",2015-05-21,/market-activity/ipos/overview?dealId=924106-78124,632,"7,700,000",130900000.0,151 O'CONNOR STREET GROUND FLOOR  OTTAWA  K2P 2L8,613-241-2828,Services-Prepackaged Software,-21615000.0,61795000.0,-22311000.0,105018000.0,43223000.0,95193000.0,1.0898272705563958
197,ConforMIS Inc,CFMS,Nasdaq National Market,15.0,"9,000,000","$135,000,000",2015-07-01,/market-activity/ipos/overview?dealId=652145-78505,353,"39,086,637",586299555.0,600 TECHNOLOGY DRIVE   BILLERICA MA 01821,(781) 345-9001,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",-45425000.0,15812000.0,-45722000.0,48186000.0,32374000.0,71278000.0,0.39277972078503914
198,"Unique Fabricating, Inc.",UFAB,American Stock Exchange,9.5,"2,350,000","$22,325,000",2015-07-01,/market-activity/ipos/overview?dealId=949127-76932,620,"9,089,998",86354981.0,800 STANDARD PARKWAY   AUBURN HILLS MI 48326,248-853-2333,Motor Vehicle Parts and Accessories,10134245.0,31460133.0,4464840.0,126480235.0,95020102.0,84150706.0,0.5759544069561761
199,"Teladoc Health, Inc.",TDOC,New York Stock Exchange,19.0,"8,250,000","$156,750,000",2015-07-01,/market-activity/ipos/overview?dealId=816414-78553,259,"37,046,346",703880574.0,2 MANHATTANVILLE ROAD SUITE 203  PURCHASE NY 10577,2036352002,Services-Offices and Clinics Of Doctors Of Medicine,-15150000.0,33599000.0,-17037000.0,43528000.0,9929000.0,91839000.0,1.186677383703406
200,"Natera, Inc.",NTRA,Nasdaq National Market,18.0,"10,000,000","$180,000,000",2015-07-02,/market-activity/ipos/overview?dealId=966846-78575,674,"48,427,337",871692066.0,13011 MCCALLEN PASS BUILDING A SUITE 100  AUSTIN TX 78753,650-249-9090,Services-Medical Laboratories,665000.0,80893000.0,-5152000.0,159289000.0,78396000.0,123623000.0,1.8871871091696726
201,Hailiang Education Group Inc.,HLG,Nasdaq National Market,7.0,"2,858,000","$20,006,000",2015-07-07,/market-activity/ipos/overview?dealId=953462-77324,2255,"1,429,000",10003000.0,"1508 BINSHENG RD, BINJIANG DISTRICT, HANGZHOU CITY,  ZHEJIANG  310052",86 0571 58121974,Services-Educational Services,19437000.0,26281000.0,22671000.0,74578000.0,48297000.0,102969000.0,0.04745853172095114
202,Jupai Holdings Ltd,JP,New York Stock Exchange,10.0,"5,300,000","$53,000,000",2015-07-16,/market-activity/ipos/overview?dealId=967929-78689,852,"5,300,000",53000000.0,"YINLI BUILDING, 8/F 788 GUANGZHONG ROAD  SHANGHAI  200072",86 21 6026-9003,Services-Management Services,17565232.0,27817886.0,14149905.0,38310243.0,10492358.0,67313863.0,0.7079439307543024
203,"MasterCraft Boat Holdings, Inc.",MCFT,Nasdaq National Market,15.0,"6,071,429","$91,071,435",2015-07-17,/market-activity/ipos/overview?dealId=964343-78298,475,"17,210,426",258156390.0,100 CHEROKEE COVE DRIVE   VONORE TN 37855,(423) 884-2221,Ship And Boat Building And Repairing,18594000.0,37612000.0,19927000.0,177587000.0,139975000.0,96142000.0,0.09615515187427859
204,OOMA INC,OOMA,New York Stock Exchange,13.0,"5,000,000","$65,000,000",2015-07-17,/market-activity/ipos/overview?dealId=674544-78694,116,"16,952,585",220383605.0,525 ALMANOR AVENUE SUITE 200  SUNNYVALE CA 94085,6505666610,Services-Computer Processing and Data Preparation,-1455000.0,22198000.0,-2000000.0,53665000.0,31467000.0,17716000.0,0.3678535926388499
205,"Rapid7, Inc.",RPD,Nasdaq National Market,16.0,"6,450,000","$103,200,000",2015-07-17,/market-activity/ipos/overview?dealId=891765-78660,554,"37,784,917",604558672.0,120 CAUSEWAY STREET   BOSTON MA 02114,617-247-1717,Services-Prepackaged Software,-29141000.0,58408000.0,-32627000.0,76880000.0,18472000.0,86966000.0,0.2806929868399134
206,"Neos Therapeutics, Inc.",NEOS,Nasdaq National Market,15.0,"4,800,000","$72,000,000",2015-07-23,/market-activity/ipos/overview?dealId=807805-78743,62,"14,488,716",217330740.0,2940 N. HIGHWAY 360 SUITE 400  GRAND PRAIRIE TX 75050,972.408.1360,Pharmaceutical Preparations,-18472000.0,-2633000.0,-20849000.0,758000.0,3391000.0,45230000.0,-0.2739463601532567
207,"XCel Brands, Inc.",XELB,Nasdaq National Market,9.0,"1,800,000","$16,200,000",2015-07-31,/market-activity/ipos/overview?dealId=61156-77621,64,"17,991,689",161925201.0,1333 BROADWAY 10TH FLOOR  NEW YORK NY 10018,(347) 727-2474,Patent Owners and Lessors,835000.0,20634000.0,-1032000.0,20707000.0,73000.0,124484000.0,0.5728826433725788
