,company_name,ticker,exchange,share_price,shares_offered,dollar_value_of_shares,date_of_priced,href
1199,BICYCLE THERAPEUTICS plc,BCYC,NASDAQ Global Select,14.0,"4,333,333","$60,666,662",2019-05-23,/market-activity/ipos/overview?dealId=1083922-89538
1200,"Ideaya Biosciences, Inc.",IDYA,NASDAQ Global Select,10.0,"5,000,000","$50,000,000",2019-05-23,/market-activity/ipos/overview?dealId=1002272-89541
1201,RATTLER MIDSTREAM LP,RTLR,NASDAQ Global Select,17.5,"38,000,000","$665,000,000",2019-05-23,/market-activity/ipos/overview?dealId=1061137-87552
1202,PROFICIENT ALPHA ACQUISITION CORP,PAACU,NASDAQ Capital,10.0,"10,000,000","$100,000,000",2019-05-30,/market-activity/ipos/overview?dealId=1083945-89543
1203,SC Health Corp,SCPEU,NYSE,10.0,"15,000,000","$150,000,000",2019-07-12,/market-activity/ipos/overview?dealId=1088902-89953
1204,XL Fleet Corp.,PIC'U,NYSE,10.0,"20,000,000","$200,000,000",2019-07-12,/market-activity/ipos/overview?dealId=1087757-89877
1205,Tuscan Holdings Corp. II,THCAU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2019-07-12,/market-activity/ipos/overview?dealId=1088703-89941
1206,DouYu International Holdings Ltd,DOYU,NASDAQ Global Select,11.5,"67,387,110","$774,951,765",2019-07-17,/market-activity/ipos/overview?dealId=1083383-89498
1207,"Fulcrum Therapeutics, Inc.",FULC,NASDAQ Global,16.0,"4,500,000","$72,000,000",2019-07-18,/market-activity/ipos/overview?dealId=999885-89960
1208,"Mirum Pharmaceuticals, Inc.",MIRM,NASDAQ Global,15.0,"5,000,000","$75,000,000",2019-07-18,/market-activity/ipos/overview?dealId=1070111-89956
1209,"Hims & Hers Health, Inc.",OAC'U,NYSE,10.0,"17,500,000","$175,000,000",2019-07-18,/market-activity/ipos/overview?dealId=1089713-90033
1210,GENMAB A/S,GMAB,NASDAQ Global Select,17.75,"28,500,000","$505,875,000",2019-07-18,/market-activity/ipos/overview?dealId=777502-89779
1211,"Phreesia, Inc.",PHR,NYSE,18.0,"9,288,194","$167,187,492",2019-07-18,/market-activity/ipos/overview?dealId=756810-89962
1212,"AssetMark Financial Holdings, Inc.",AMK,NYSE,22.0,"12,500,000","$275,000,000",2019-07-18,/market-activity/ipos/overview?dealId=920289-89984
1213,Intercorp Financial Services Inc.,IFS,NYSE,46.0,"9,000,000","$414,000,000",2019-07-19,/market-activity/ipos/overview?dealId=946738-90082
1214,"Medallia, Inc.",MDLA,NYSE,21.0,"15,500,000","$325,500,000",2019-07-19,/market-activity/ipos/overview?dealId=969278-89964
1215,Afya Ltd,AFYA,NASDAQ Global Select,19.0,"13,744,210","$261,139,990",2019-07-19,/market-activity/ipos/overview?dealId=1089088-89983
1216,CASTLE BIOSCIENCES INC,CSTL,NASDAQ Global,16.0,"4,000,000","$64,000,000",2019-07-25,/market-activity/ipos/overview?dealId=789323-90002
1217,"ProSight Global, Inc.",PROS,NYSE,14.0,"7,857,145","$110,000,030",2019-07-25,/market-activity/ipos/overview?dealId=959442-90030
1218,Sunnova Energy International Inc.,NOVA,NYSE,12.0,"14,000,000","$168,000,000.00",2019-07-25,/market-activity/ipos/overview?dealId=1089475-90011
1219,"Health Catalyst, Inc.",HCAT,NASDAQ Global Select,26.0,"7,000,000","$182,000,000",2019-07-25,/market-activity/ipos/overview?dealId=961470-90013
1220,"Livongo Health, Inc.",LVGO,NASDAQ Global Select,28.0,"12,687,000","$355,236,000",2019-07-25,/market-activity/ipos/overview?dealId=962529-90018
1221,Fellazo Inc.,FLLCU,NASDAQ Capital,10.0,"5,000,000","$50,000,000",2019-07-25,/market-activity/ipos/overview?dealId=1086256-89734
1222,Blue Hat Interactive Entertainment Technology,BHAT,NASDAQ Capital,4.0,"2,000,000","$8,000,000",2019-07-26,/market-activity/ipos/overview?dealId=1079100-89086
1223,"ChargePoint Holdings, Inc.",SBE'U,NYSE,10.0,"30,000,000","$300,000,000",2019-07-26,/market-activity/ipos/overview?dealId=1089830-90052
1224,"Vista Oil & Gas, S.A.B. de C.V.",VIST,NYSE,9.25,"10,000,000","$92,500,000",2019-07-26,/market-activity/ipos/overview?dealId=1089943-90058
1225,Wanda Sports Group Co Ltd,WSG,NASDAQ Global Select,8.0,"23,800,000","$190,400,000",2019-07-26,/market-activity/ipos/overview?dealId=1087693-89870
1226,Borr Drilling Ltd,BORR,NYSE,9.3,"5,000,000","$46,500,000",2019-07-31,/market-activity/ipos/overview?dealId=1031513-90109
1227,Netfin Acquisition Corp.,NFINU,NASDAQ Capital,10.0,"22,000,000","$220,000,000",2019-07-31,/market-activity/ipos/overview?dealId=1090702-90115
1228,"Dynatrace, Inc.",DT,NYSE,16.0,"35,609,612","$569,753,792",2019-08-01,/market-activity/ipos/overview?dealId=1090139-90086
1229,"KURA SUSHI USA, INC.",KRUS,NASDAQ Global,14.0,"2,900,000","$40,600,000",2019-08-01,/market-activity/ipos/overview?dealId=1090098-90079
1230,Sundial Growers Inc.,SNDL,NASDAQ Global Select,13.0,"10,000,000","$130,000,000",2019-08-01,/market-activity/ipos/overview?dealId=1086599-90091
1231,Orisun Acquisition Corp.,ORSNU,NASDAQ Capital,10.0,"4,000,000","$40,000,000",2019-08-02,/market-activity/ipos/overview?dealId=1089317-89997
1232,AMTD International Inc.,HKIB,NYSE,8.38,"20,759,700","$173,966,286",2019-08-05,/market-activity/ipos/overview?dealId=1088823-89948
1233,InMode Ltd.,INMD,NASDAQ Global Select,14.0,"5,000,000","$70,000,000",2019-08-08,/market-activity/ipos/overview?dealId=1090711-90118
1234,Silver Spike Acquisition Corp.,SSPKU,NASDAQ Capital,10.0,"25,000,000","$250,000,000",2019-08-08,/market-activity/ipos/overview?dealId=1091450-90166
1235,"Thunder Bridge Acquisition II, LTD",THBRU,NASDAQ Capital,10.0,"30,000,000","$300,000,000",2019-08-09,/market-activity/ipos/overview?dealId=1091212-90146
1236,"China Xiangtai Food Co., Ltd.",PLIN,NASDAQ Capital,5.0,"1,172,360","$5,861,800",2019-08-14,/market-activity/ipos/overview?dealId=1062677-87717
1237,9F Inc.,JFU,NASDAQ Global,9.5,"8,900,000","$84,550,000",2019-08-15,/market-activity/ipos/overview?dealId=1091863-90197
1238,"CROSSFIRST BANKSHARES, INC.",CFB,NASDAQ Global Select,14.5,"7,011,589","$101,668,041",2019-08-15,/market-activity/ipos/overview?dealId=799668-90156
1239,Osprey Technology Acquisition Corp.,SFTWU,NYSE,10.0,"27,500,000","$275,000,000",2019-11-01,/market-activity/ipos/overview?dealId=1098431-90821
1240,Fangdd Network Group Ltd.,DUO,NASDAQ Global,13.0,"6,000,000","$78,000,000",2019-11-01,/market-activity/ipos/overview?dealId=1098105-90794
1241,FinServ Acquisition Corp.,FSRVU,NASDAQ Capital,10.0,"22,000,000","$220,000,000",2019-11-01,/market-activity/ipos/overview?dealId=1098440-90823
1242,Q&K INTERNATIONAL GROUP Ltd,QK,NASDAQ Global,17.0,"2,700,000","$45,900,000",2019-11-05,/market-activity/ipos/overview?dealId=1097955-90787
1243,Merida Merger Corp. I,MCMJU,NASDAQ Capital,10.0,"12,000,000","$120,000,000",2019-11-05,/market-activity/ipos/overview?dealId=1098116-90798
1244,LGL Systems Acquisition Corp.,DFNSU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2019-11-07,/market-activity/ipos/overview?dealId=1098024-90790
1245,Centogene N.V.,CNTG,NASDAQ Global,14.0,"4,000,000","$56,000,000",2019-11-07,/market-activity/ipos/overview?dealId=1098429-90819
1246,Silvergate Capital Corp,SI,NYSE,12.0,"3,333,333","$39,999,996",2019-11-07,/market-activity/ipos/overview?dealId=658821-88409
1247,"Galera Therapeutics, Inc.",GRTX,NASDAQ Global,12.0,"5,000,000","$60,000,000",2019-11-07,/market-activity/ipos/overview?dealId=894481-90826
1248,36Kr Holdings Inc.,KRKR,NASDAQ Global,14.5,"1,380,000","$20,010,000",2019-11-08,/market-activity/ipos/overview?dealId=1097304-90731
1249,"TELA Bio, Inc.",TELA,NASDAQ Global,13.0,"4,000,000","$52,000,000",2019-11-08,/market-activity/ipos/overview?dealId=894283-90840
1250,Stable Road Acquisition Corp.,SRACU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2019-11-08,/market-activity/ipos/overview?dealId=1097231-90716
1251,ECMOHO Ltd,MOHO,NASDAQ Global,10.0,"4,375,000","$43,750,000",2019-11-08,/market-activity/ipos/overview?dealId=1097054-90703
1252,"Juniper Industrial Holdings, Inc.",JIH'U,NYSE,10.0,"30,000,000","$300,000,000",2019-11-08,/market-activity/ipos/overview?dealId=1098965-90862
1253,"CNS Pharmaceuticals, Inc.",CNSP,NASDAQ Capital,4.0,"2,125,000","$8,500,000",2019-11-08,/market-activity/ipos/overview?dealId=1048115-90031
1254,"89bio, Inc.",ETNB,NASDAQ Global,16.0,"5,304,687","$84,874,992",2019-11-11,/market-activity/ipos/overview?dealId=1098419-90817
1255,"EVmo, Inc.",YAYO,NASDAQ Capital,4.0,"2,625,000","$10,500,000",2019-11-13,/market-activity/ipos/overview?dealId=1009638-86710
1256,GreenVision Acquisition Corp.,GRNVU,NASDAQ Capital,10.0,"5,000,000","$50,000,000",2019-11-19,/market-activity/ipos/overview?dealId=1099084-90873
1257,CuriosityStream Inc.,SAQNU,NASDAQ Capital,10.0,"13,000,000","$130,000,000",2019-11-20,/market-activity/ipos/overview?dealId=1099480-90901
1258,Amplitude Healthcare Acquisition Corp,AMHCU,NASDAQ Capital,10.0,"10,000,000","$100,000,000",2019-11-20,/market-activity/ipos/overview?dealId=1099476-90899
1259,SITIME Corp,SITM,NASDAQ Global,13.0,"4,300,000","$55,900,000",2019-11-21,/market-activity/ipos/overview?dealId=793766-90886
1260,Canaan Inc.,CAN,NASDAQ Global,9.0,"10,000,000","$90,000,000",2019-11-21,/market-activity/ipos/overview?dealId=1099600-90917
1261,"Porch Group, Inc.",PTACU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2019-11-22,/market-activity/ipos/overview?dealId=1100254-90986
1262,CHP Merger Corp.,CHPMU,NASDAQ Capital,10.0,"27,500,000","$275,000,000",2019-11-22,/market-activity/ipos/overview?dealId=1100000-90952
1263,"Alpine Income Property Trust, Inc.",PINE,NYSE,19.0,"7,500,000","$142,500,000",2019-11-22,/market-activity/ipos/overview?dealId=1099278-90885
1264,Alussa Energy Acquisition Corp.,ALUSU,NYSE,10.0,"25,000,000","$250,000,000",2019-11-26,/market-activity/ipos/overview?dealId=1100090-90962
1265,"LMP Automotive Holdings, Inc.",LMPX,NASDAQ Capital,5.0,"2,300,000","$11,500,000",2019-12-05,/market-activity/ipos/overview?dealId=1046037-89931
1266,Alpha Investment Inc.,ALPC,NASDAQ Capital,5.0,"1,000,000","$5,000,000",2019-12-09,/market-activity/ipos/overview?dealId=944830-91651
1267,LIV Capital Acquisition Corp.,LIVKU,NASDAQ Capital,10.0,"7,000,000","$70,000,000",2019-12-11,/market-activity/ipos/overview?dealId=1101835-91126
1268,XP Inc.,XP,NASDAQ Global Select,27.0,"72,510,641","$1,957,787,307",2019-12-11,/market-activity/ipos/overview?dealId=1101440-91088
1269,EHang Holdings Ltd,EH,NASDAQ Global,12.5,"3,200,000","$40,000,000",2019-12-12,/market-activity/ipos/overview?dealId=1099995-90951
1270,"Bill.com Holdings, Inc.",BILL,NYSE,22.0,"9,823,529","$216,117,638",2019-12-12,/market-activity/ipos/overview?dealId=1101475-91090
1271,"SOC Telemed, Inc.",HCCOU,NASDAQ Capital,10.0,"22,000,000","$220,000,000",2019-12-13,/market-activity/ipos/overview?dealId=1102175-91152
1272,"ONECONNECT FINANCIAL TECHNOLOGY CO., LTD.",OCFT,NYSE,10.0,"31,200,000","$312,000,000",2019-12-13,/market-activity/ipos/overview?dealId=1101088-91065
1273,"Sprout Social, Inc.",SPT,NASDAQ Capital,17.0,"8,823,530","$150,000,010",2019-12-13,/market-activity/ipos/overview?dealId=852090-90895
1274,"Arrival Vault US, Inc.",CIICU,NASDAQ Capital,10.0,"22,500,000","$225,000,000",2019-12-13,/market-activity/ipos/overview?dealId=1102067-91145
1275,Monopar Therapeutics,MNPR,NASDAQ Capital,8.0,"1,111,112","$8,888,896",2019-12-19,/market-activity/ipos/overview?dealId=968362-90393
1276,Indonesia Energy Corp Ltd,INDO,NYSE MKT,11.0,"1,363,637","$15,000,007",2019-12-19,/market-activity/ipos/overview?dealId=1092219-90237
1277,Molecular Data Inc.,MKD,NASDAQ Global Select,5.38,"11,500,000","$61,870,000",2019-12-30,/market-activity/ipos/overview?dealId=1103069-91215
1278,"Aeva Technologies, Inc.",IPV'U,NYSE,10.0,"21,000,000","$210,000,000",2020-02-04,/market-activity/ipos/overview?dealId=1105761-91415
1279,"PPD, Inc.",PPD,NASDAQ Global Select,27.0,"60,000,000","$1,620,000,000",2020-02-06,/market-activity/ipos/overview?dealId=1105822-91416
1280,Casper Sleep Inc.,CSPR,NYSE,12.0,"8,350,000","$100,200,000",2020-02-06,/market-activity/ipos/overview?dealId=925895-91428
1281,"Schrodinger, Inc.",SDGR,NASDAQ Global Select,17.0,"11,882,352","$201,999,984",2020-02-06,/market-activity/ipos/overview?dealId=827807-91441
1282,Beam Therapeutics Inc.,BEAM,NASDAQ Global Select,17.0,"10,588,236","$180,000,012",2020-02-06,/market-activity/ipos/overview?dealId=1061439-90721
1283,Professional Holding Corp.,PFHD,NASDAQ Global Select,18.5,"3,100,000","$57,350,000",2020-02-07,/market-activity/ipos/overview?dealId=962916-91402
1284,"NexPoint Real Estate Finance, Inc.",NREF,NYSE,19.0,"5,000,000","$95,000,000",2020-02-07,/market-activity/ipos/overview?dealId=1104551-91340
1285,OneWater Marine Inc.,ONEW,NASDAQ Global,12.0,"4,615,385","$55,384,620",2020-02-07,/market-activity/ipos/overview?dealId=1090857-90129
1286,Greenrose Acquisition Corp.,GNRSU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2020-02-11,/market-activity/ipos/overview?dealId=1104711-91356
1287,CITIC Capital Acquisition Corp.,CCACU,NYSE,10.0,"24,000,000","$240,000,000",2020-02-11,/market-activity/ipos/overview?dealId=1107144-91507
1288,Huize Holding Ltd,HUIZ,NASDAQ Global,10.5,"5,250,000","$55,125,000",2020-02-12,/market-activity/ipos/overview?dealId=1094966-90524
1289,Yunhong International,ZGYHU,NASDAQ Capital,10.0,"6,000,000","$60,000,000",2020-02-13,/market-activity/ipos/overview?dealId=1089618-90025
1290,"Revolution Medicines, Inc.",RVMD,NASDAQ Global Select,17.0,"14,000,000","$238,000,000",2020-02-13,/market-activity/ipos/overview?dealId=1010863-91480
1291,"Muscle Maker, Inc.",GRIL,NASDAQ Capital,5.0,"1,540,000","$7,700,000",2020-02-13,/market-activity/ipos/overview?dealId=1019512-91163
1292,"TRXADE GROUP, INC.",MEDS,NASDAQ Capital,6.5,"806,452","$5,241,938",2020-02-13,/market-activity/ipos/overview?dealId=747429-91280
1293,MultiPlan Corp,CCXXU,NYSE,10.0,"100,000,000","$1,000,000,000",2020-02-14,/market-activity/ipos/overview?dealId=1107781-91563
1294,Nuvve Holding Corp.,NBACU,NASDAQ Capital,10.0,"5,000,000","$50,000,000",2020-02-14,/market-activity/ipos/overview?dealId=1105376-91384
1295,East Stone Acquisition Corp,ESSCU,NASDAQ Capital,10.0,"12,000,000","$120,000,000",2020-02-20,/market-activity/ipos/overview?dealId=1106762-91474
1296,"Rush Street Interactive, Inc.",DMYTU,NYSE,10.0,"20,000,000","$200,000,000",2020-02-21,/market-activity/ipos/overview?dealId=1108122-91581
1297,Zhongchao Inc.,ZCMD,NASDAQ Capital,4.0,"3,000,000","$12,000,000",2020-02-24,/market-activity/ipos/overview?dealId=1101930-91133
1298,"Passage BIO, Inc.",PASG,NASDAQ Global Select,18.0,"12,000,000","$216,000,000",2020-02-28,/market-activity/ipos/overview?dealId=1095171-91585
1299,Collective Growth Corp,CGROU,NASDAQ Capital,10.0,"15,000,000","$150,000,000",2020-05-01,/market-activity/ipos/overview?dealId=1111059-91826
1300,"Lyra Therapeutics, Inc.",LYRA,NASDAQ Global,16.0,"3,500,000","$56,000,000",2020-05-01,/market-activity/ipos/overview?dealId=674195-91878
1301,GAN Ltd,GAN,NASDAQ Capital,8.5,"6,380,000","$54,230,000",2020-05-05,/market-activity/ipos/overview?dealId=1113320-92004
1302,"PURECYCLE TECHNOLOGIES, INC.",ROCHU,NASDAQ Capital,10.0,"7,500,000","$75,000,000",2020-05-05,/market-activity/ipos/overview?dealId=1111211-91844
1303,Sustainable Opportunities Acquisition Corp.,SOACU,NYSE,10.0,"30,000,000","$300,000,000",2020-05-06,/market-activity/ipos/overview?dealId=1112687-91961
1304,"Danimer Scientific, Inc.",LOAKU,NYSE,10.0,"20,000,000","$200,000,000",2020-05-06,/market-activity/ipos/overview?dealId=1111087-91827
1305,China Liberal Education Holdings Ltd,CLEU,NASDAQ Capital,6.0,"1,333,333","$7,999,998",2020-05-08,/market-activity/ipos/overview?dealId=1092673-90273
1306,"Ayala Pharmaceuticals, Inc.",AYLA,NASDAQ Global,15.0,"3,666,667","$55,000,005",2020-05-08,/market-activity/ipos/overview?dealId=1111669-91871
1307,Kingsoft Cloud Holdings Ltd,KC,NASDAQ Global Select,17.0,"30,000,000","$510,000,000",2020-05-08,/market-activity/ipos/overview?dealId=1115099-92173
1308,"GigCapital3, Inc.",GIK'U,NYSE,10.0,"20,000,000","$200,000,000",2020-05-14,/market-activity/ipos/overview?dealId=1110621-91763
1309,Jaws Acquisition Corp.,JWS'U,NYSE,10.0,"60,000,000","$600,000,000",2020-05-14,/market-activity/ipos/overview?dealId=1116085-92247
1310,ADC Therapeutics SA,ADCT,NYSE,19.0,"12,245,631","$232,666,989",2020-05-15,/market-activity/ipos/overview?dealId=1095306-92232
1311,"AppHarvest, Inc.",NOVSU,NASDAQ Capital,10.0,"10,000,000","$100,000,000",2020-05-15,/market-activity/ipos/overview?dealId=1116110-92249
1312,"Eos Energy Enterprises, Inc.",BMRGU,NYSE,10.0,"17,500,000","$175,000,000",2020-05-20,/market-activity/ipos/overview?dealId=1115560-92218
1313,"Butterfly Network, Inc.",LGVWU,NYSE,10.0,"36,000,000","$360,000,000",2020-05-21,/market-activity/ipos/overview?dealId=1116407-92282
1314,"SelectQuote, Inc.",SLQT,NYSE,20.0,"28,500,000","$570,000,000",2020-05-21,/market-activity/ipos/overview?dealId=1110384-91734
1315,"Inari Medical, Inc.",NARI,NASDAQ Global Select,19.0,"8,202,565","$155,848,735",2020-05-22,/market-activity/ipos/overview?dealId=864405-91738
1316,Foley Trasimene Acquisition Corp.,WPF'U,NYSE,10.0,"90,000,000","$900,000,000",2020-05-27,/market-activity/ipos/overview?dealId=1116900-92368
1317,"PLIANT THERAPEUTICS, INC.",PLRX,NASDAQ Global Select,16.0,"9,000,000","$144,000,000",2020-06-03,/market-activity/ipos/overview?dealId=1059589-92376
1318,Warner Music Group Corp.,WMG,NASDAQ Global Select,25.0,"77,000,000","$1,925,000,000",2020-06-03,/market-activity/ipos/overview?dealId=667095-91616
1319,ZoomInfo Technologies Inc.,ZI,NASDAQ Global Select,21.0,"44,500,000","$934,500,000",2020-06-04,/market-activity/ipos/overview?dealId=1110768-91781
1320,Legend Biotech Corp,LEGN,NASDAQ Global Select,23.0,"18,425,000","$423,775,000",2020-06-05,/market-activity/ipos/overview?dealId=1114251-92426
1321,"Shift4 Payments, Inc.",FOUR,NYSE,23.0,"15,000,000","$345,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117559-92459
1322,Calliditas Therapeutics AB,CALT,NASDAQ Global Select,19.5,"4,153,385","$80,991,008",2020-06-05,/market-activity/ipos/overview?dealId=1117306-92434
1323,Dada Nexus Ltd,DADA,NASDAQ Global Select,16.0,"20,000,000","$320,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117138-92405
1324,"Cerevel Therapeutics Holdings, Inc.",ARYBU,NASDAQ Capital,10.0,"13,000,000","$130,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117699-92488
1325,Applied Molecular Transport Inc.,AMTI,NASDAQ Global Select,14.0,"11,000,000","$154,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117657-92476
1326,"PLBY Group, Inc.",MCACU,NASDAQ Capital,10.0,"5,000,000","$50,000,000",2020-06-05,/market-activity/ipos/overview?dealId=1117568-92464
1327,"Vroom, Inc.",VRM,NASDAQ Global Select,22.0,"21,250,000","$467,500,000",2020-06-09,/market-activity/ipos/overview?dealId=910204-92485
1328,Hudson Executive Investment Corp.,HECCU,NASDAQ Capital,10.0,"36,000,000","$360,000,000",2020-06-09,/market-activity/ipos/overview?dealId=1117995-92525
1329,uCloudlink Group Inc.,UCL,NASDAQ Global,18.0,"2,010,000","$36,180,000",2020-06-10,/market-activity/ipos/overview?dealId=1116506-92297
1330,Lantern Pharma Inc.,LTRN,NASDAQ Capital,15.0,"1,750,000","$26,250,000",2020-06-11,/market-activity/ipos/overview?dealId=1074553-92166
1331,Burning Rock Biotech Ltd,BNR,NASDAQ Global,16.5,"13,500,000","$222,750,000",2020-06-12,/market-activity/ipos/overview?dealId=1118011-92531
1332,AZEK Co Inc.,AZEK,NYSE,23.0,"33,250,000","$764,750,000",2020-06-12,/market-activity/ipos/overview?dealId=1108834-91621
1333,Generation Bio Co.,GBIO,NASDAQ Global Select,19.0,"10,500,000","$199,500,000",2020-06-12,/market-activity/ipos/overview?dealId=1047390-92534
1334,"Vaxcyte, Inc.",PCVX,NASDAQ Global Select,16.0,"15,625,000","$250,000,000",2020-06-12,/market-activity/ipos/overview?dealId=971386-92547
1335,"Avidity Biosciences, Inc.",RNA,NASDAQ Global,18.0,"14,400,000","$259,200,000",2020-06-12,/market-activity/ipos/overview?dealId=927563-92536
1336,Royalty Pharma plc,RPRX,NASDAQ Global Select,28.0,"77,681,670","$2,175,086,760",2020-06-16,/market-activity/ipos/overview?dealId=1118107-92548
1337,Trebia Acquisition Corp.,TREBU,NYSE,10.0,"45,000,000","$450,000,000",2020-06-17,/market-activity/ipos/overview?dealId=1118681-92599
1338,Repare Therapeutics Inc.,RPTX,NASDAQ Global Select,20.0,"11,000,000","$220,000,000",2020-06-19,/market-activity/ipos/overview?dealId=1118673-92598
1339,"PROGENITY, INC.",PROG,NASDAQ Global,15.0,"6,666,667","$100,000,005",2020-06-19,/market-activity/ipos/overview?dealId=909699-92573
1340,Genetron Holdings Ltd,GTH,NASDAQ Global,16.0,"16,000,000","$256,000,000",2020-06-19,/market-activity/ipos/overview?dealId=1101913-91132
1341,"Forma Therapeutics Holdings, Inc.",FMTX,NASDAQ Global,20.0,"13,882,352","$277,647,040",2020-06-19,/market-activity/ipos/overview?dealId=872107-92587
1342,Brilliant Acquisition Corp,BRLIU,NASDAQ Capital,10.0,"4,000,000","$40,000,000",2020-06-24,/market-activity/ipos/overview?dealId=1112366-91925
1343,PolyPid Ltd.,PYPD,NASDAQ Global,16.0,"3,750,000","$60,000,000",2020-06-26,/market-activity/ipos/overview?dealId=947080-92678
1344,"Albertsons Companies, Inc.",ACI,NYSE,16.0,"50,000,000","$800,000,000",2020-06-26,/market-activity/ipos/overview?dealId=970028-91876
1345,"Akouos, Inc.",AKUS,NASDAQ Global Select,17.0,"12,500,000","$212,500,000",2020-06-26,/market-activity/ipos/overview?dealId=1037280-92677
1346,"Agora, Inc.",API,NASDAQ Global Select,20.0,"17,500,000","$350,000,000",2020-06-26,/market-activity/ipos/overview?dealId=1119203-92665
1347,Fusion Acquisition Corp.,FUSEU,NYSE,10.0,"30,500,000","$305,000,000",2020-06-26,/market-activity/ipos/overview?dealId=1119358-92711
1348,Ebang International Holdings Inc.,EBON,NASDAQ Global Select,5.23,"19,264,337","$100,752,483",2020-06-26,/market-activity/ipos/overview?dealId=1115664-92233
1349,QuantumScape Corp,KCACU,NYSE,10.0,"20,000,000","$200,000,000",2020-06-26,/market-activity/ipos/overview?dealId=1119467-92724
1350,Fusion Pharmaceuticals Inc.,FUSN,NASDAQ Global Select,17.0,"12,500,000","$212,500,000",2020-06-26,/market-activity/ipos/overview?dealId=1119222-92670
1351,"ADiTx Therapeutics, Inc.",ADTX,NASDAQ Capital,9.0,"1,226,668","$11,040,012",2020-06-30,/market-activity/ipos/overview?dealId=1049568-91465
1352,Nuvation Bio Inc.,PANAU,NYSE,10.0,"12,500,000","$125,000,000",2020-07-01,/market-activity/ipos/overview?dealId=1119812-92760
1353,"Dun & Bradstreet Holdings, Inc.",DNB,NYSE,22.0,"78,302,272","$1,722,649,984",2020-07-01,/market-activity/ipos/overview?dealId=1119459-92723
1354,"Lemonade, Inc.",LMND,NYSE,29.0,"11,000,000","$319,000,000",2020-07-02,/market-activity/ipos/overview?dealId=1009623-92701
1355,CAPSTAR SPECIAL PURPOSE ACQUISITION CORP.,CPSRU,NYSE,10.0,"24,000,000","$240,000,000",2020-07-02,/market-activity/ipos/overview?dealId=1119611-92738
1356,"Accolade, Inc.",ACCD,NASDAQ Global Select,22.0,"10,022,726","$220,499,972",2020-07-02,/market-activity/ipos/overview?dealId=819746-91824
1357,BlueCity Holdings Ltd,BLCT,NASDAQ Global,16.0,"5,300,000","$84,800,000",2020-07-08,/market-activity/ipos/overview?dealId=1119981-92802
1358,Therapeutics Acquisition Corp.,TXAC,NASDAQ Capital,10.0,"11,800,000","$118,000,000",2020-07-08,/market-activity/ipos/overview?dealId=1119948-92791
1359,QUHUO Ltd,QH,NASDAQ Global,10.0,"3,300,000","$33,000,000",2020-07-10,/market-activity/ipos/overview?dealId=1119110-92658
1360,"Poseida Therapeutics, Inc.",PSTX,NASDAQ Global Select,16.0,"14,000,000","$224,000,000",2020-07-10,/market-activity/ipos/overview?dealId=982447-92848
1361,"Nkarta, Inc.",NKTX,NASDAQ Global Select,18.0,"14,000,000","$252,000,000",2020-07-10,/market-activity/ipos/overview?dealId=1095278-92838
1362,Inventiva S.A.,IVA,NASDAQ Global,14.4,"7,478,261","$107,686,958",2020-07-10,/market-activity/ipos/overview?dealId=1120372-92843
1363,PTK Acquisition Corp.,PTK'U,NYSE MKT,10.0,"10,000,000","$100,000,000",2020-07-13,/market-activity/ipos/overview?dealId=1119834-92767
1364,Artius Acquisition Inc.,AACQU,NASDAQ Capital,10.0,"63,000,000","$630,000,000",2020-07-14,/market-activity/ipos/overview?dealId=1120753-92898
1365,"NCINO, INC.",NCNO,NASDAQ Global Select,31.0,"8,060,000","$249,860,000",2020-07-14,/market-activity/ipos/overview?dealId=898341-92856
1366,D8 Holdings Corp.,DEH'U,NYSE,10.0,"30,000,000","$300,000,000",2020-07-15,/market-activity/ipos/overview?dealId=1120965-92933
1367,Malacca Straits Acquisition Co Ltd,MLACU,NASDAQ Capital,10.0,"12,500,000","$125,000,000",2020-07-15,/market-activity/ipos/overview?dealId=1120928-92911
1368,"GoHealth, Inc.",GOCO,NASDAQ Global Select,21.0,"43,500,000","$913,500,000",2020-07-15,/market-activity/ipos/overview?dealId=1120303-92832
1369,HPX Corp.,HPX'U,NYSE,10.0,"22,000,000","$220,000,000",2020-07-16,/market-activity/ipos/overview?dealId=1120944-92922
1370,"Relay Therapeutics, Inc.",RLAY,NASDAQ Global,20.0,"20,000,000","$400,000,000",2020-07-16,/market-activity/ipos/overview?dealId=1120735-92894
1371,ALX ONCOLOGY HOLDINGS INC,ALXO,NASDAQ Global Select,19.0,"8,500,000","$161,500,000",2020-07-17,/market-activity/ipos/overview?dealId=1120946-92924
1372,Renalytix AI plc,RNLX,NASDAQ Global,13.5,"5,485,000","$74,047,500",2020-07-17,/market-activity/ipos/overview?dealId=1120737-92895
